date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,percent_of_trips_paid_with_credit_card,trips_per_day_shared,total_trips,passenger_count,avg_trip_distance,avg_trip_duration,total_amount,shared_match_flag,days_in_month,farebox_per_day_per_distance,total_co2_emission
2023-09-01,FHV - Other,43811,,15753,14609,7387,14.43,3.9,14.17,3.77,,,1314330,,4.86,27.21,,,30,,2554.525
2023-09-01,Green Taxi,2181,52570.0,899,855,485,17.0,3.6,16.3,3.5,0.7,301.06666666666666,65430,77218.0,3.13,16.0,1577100.0,9032.0,30,16790.8032,81.9414
2023-09-01,Yellow Taxi,94351,2473575.0,11818,8495,6689,23.6,8.0,19.7,6.9,0.81,19293.8,2830530,3513279.0,2.96,17.89,74207250.0,578814.0,30,836461.4135,3348.1656
2023-10-01,FHV - High Volume,651179,15443588.31,83792,80346,58055,22.4,6.5,22.0,6.4,,6343.0,20186549,,4.13,20.73,478751237.49,196633.0,31,3743694.2981,33309.6377
2023-10-01,FHV - Other,59978,,20001,18766,9725,15.33,4.0,15.13,3.83,,,1859318,,4.58,25.43,,,31,,3407.1054
2023-10-01,Green Taxi,2135,48179.0,900,861,491,17.7,3.5,17.2,3.4,0.69,297.5806451612903,66185,78304.0,2.89,15.39,1493549.0,9225.0,31,16698.5137,76.3835
2023-10-01,Yellow Taxi,112959,2889001.0,12232,8662,7548,27.0,8.5,22.6,7.2,0.82,23986.90322580645,3501729,4447084.0,2.89,17.32,89559031.0,743594.0,31,1000441.3444,4044.8143
2023-11-01,FHV - High Volume,642308,14589607.2,84091,80871,58734,21.8,6.4,21.5,6.3,,6538.0,19269240,,4.09,20.38,437688216.05,196140.0,30,3568425.6054,31513.1292
2023-11-01,FHV - Other,56386,,19417,18221,9464,14.9,3.87,14.7,3.73,,,1691580,,4.45,27.01,,,30,,3011.1053
2023-11-01,Green Taxi,2133,46814.0,876,837,486,17.4,3.5,16.9,3.5,0.7,279.8333333333333,63990,74698.0,2.78,15.02,1404420.0,8395.0,30,16869.0674,71.0324
